,County,State,Outbreak Date,Flock Type,Flock Size,State Abbrev,fips,lng,lat
112,Sioux,Iowa,2024-12-17,Commercial Table Egg Layer,428600,IA,19167,-96.17809424,43.08294203
113,Merced,California,2024-12-16,Commercial Turkey Meat Bird,53100,CA,6047,-120.7175058,37.19189197
114,Merced,California,2024-12-16,Commercial Table Egg Pullets,424700,CA,6047,-120.7175058,37.19189197
115,Sarpy,Nebraska,2024-12-16,WOAH Non-Poultry,30,NE,31153,-96.11218009,41.11287068
116,Duval,Florida,2022-12-16,WOAH Non-Poultry,10,FL,12031,-81.67063889,30.33214142
117,Butte,California,2022-12-16,WOAH Non-Poultry,20,CA,6007,-121.6008508,39.66681952
118,Flathead,Montana,2022-12-16,WOAH Non-Poultry,0,MT,30029,-114.0497122,48.29520088
119,Weld,Colorado,2022-12-16,Commercial Table Egg Layer,1291000,CO,8123,-104.3930144,40.55487277
120,Waseca,Minnesota,2023-12-15,WOAH Non-Poultry,90,MN,27161,-93.58720505,44.0220714
121,Latah,Idaho,2023-12-15,WOAH Poultry,200,ID,16057,-116.7117113,46.81645625
122,Polk,Oregon,2022-12-15,WOAH Non-Poultry,20,OR,41053,-123.4132525,44.90338514
123,Merced,California,2024-12-14,Commercial Duck Meat Bird,119000,CA,6047,-120.7175058,37.19189197
124,Tulare,California,2024-12-14,Commercial Duck Meat Bird,41100,CA,6107,-118.8004216,36.22081997
125,Bossier,Louisiana,2024-12-14,WOAH Non-Poultry,40,LA,22015,-93.60428557,32.67882745
126,Monterey,California,2024-12-14,Commercial Duck Breeder,13700,CA,6053,-121.2387503,36.21711865
127,Darke,Ohio,2023-12-14,Commercial Table Egg Layer,522300,OH,39037,-84.61945793,40.13381861
128,Scott,Arkansas,2023-12-14,WOAH Non-Poultry,180,AR,5127,-94.06315729,34.86103868
129,Clatsop,Oregon,2023-12-14,WOAH Non-Poultry,30,OR,41007,-123.6560294,45.99500314
130,Spink,South Dakota,2022-12-14,WOAH Poultry,280,SD,46115,-98.34623659,44.93824835
131,Moody,South Dakota,2022-12-14,Commercial Table Egg Layer,1332100,SD,46101,-96.67091097,44.02224521
132,Redwood,Minnesota,2022-12-14,WOAH Non-Poultry,40,MN,27127,-95.25398841,44.40365018
133,Knox,Nebraska,2022-12-14,WOAH Poultry,160,NE,31107,-97.89176183,42.63684531
134,Franklin,Washington,2022-12-14,Commercial Table Egg Layer,1015500,WA,53021,-118.8984754,46.5350455
135,Weakley,Tennessee,2022-12-14,WOAH Poultry,37900,TN,47183,-88.71817942,36.29822836
136,Barron,Wisconsin,2024-12-13,Commercial Turkey Breeder Hens,13200,WI,55005,-91.84833604,45.42372695
137,Tulare,California,2024-12-13,Commercial Broiler Production,514500,CA,6107,-118.8004216,36.22081997
138,Livingston,Illinois,2024-12-13,Commercial Turkey Breeder Hens,40500,IL,17105,-88.55786997,40.89167342
139,San Joaquin,California,2023-12-13,Commercial Duck Breeder,6000,CA,6077,-121.2712102,37.9345275
140,Rice,Kansas,2023-12-13,Commercial Table Egg Layer,700000,KS,20159,-98.20053402,38.34721983
141,Mcpherson,Kansas,2023-12-13,WOAH Poultry,20000,KS,,,
142,Merced,California,2023-12-13,Commercial Table Egg Layer,1358600,CA,6047,-120.7175058,37.19189197
143,Merced,California,2023-12-13,Commercial Broiler Production,183100,CA,6047,-120.7175058,37.19189197
144,Weld,Colorado,2023-12-13,WOAH Non-Poultry,30,CO,8123,-104.3930144,40.55487277
145,Linn,Oregon,2022-12-13,WOAH Non-Poultry,20,OR,41043,-122.5341835,44.48880768
146,Columbia,Oregon,2022-12-13,WOAH Non-Poultry,100,OR,41009,-123.0888664,45.94376691
147,Daviess,Indiana,2022-12-13,Commercial Turkey Meat Bird,11400,IN,18027,-87.07197336,38.70229994
148,Sac,Iowa,2024-12-12,Commercial Turkey Meat Bird,45200,IA,19161,-95.10547892,42.38624071
149,Kingsbury,South Dakota,2024-12-12,Commercial Turkey Meat Bird,39300,SD,46077,-97.4913945,44.36956169
150,Pope,Arkansas,2024-12-12,WOAH Non-Poultry,40,AR,5115,-93.03400145,35.4476948
151,Craighead,Arkansas,2024-12-12,WOAH Non-Poultry,10,AR,5031,-90.63270647,35.8310138
152,Dutchess,New York,2023-12-12,WOAH Poultry,4200,NY,36027,-73.74303603,41.76513375
153,Etowah,Alabama,2023-12-12,WOAH Non-Poultry,80,AL,1055,-86.03476854,34.04518886
154,Lake,South Dakota,2023-12-12,Commercial Turkey Meat Bird,76000,SD,46079,-97.12926365,44.02193107
155,St. Louis,Missouri,2023-12-12,WOAH Non-Poultry,20,MO,29189,-90.44344187,38.64048457
156,Ida,Iowa,2022-12-12,Commercial Turkey Meat Bird,90000,IA,19093,-95.51355387,42.38696136
